City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Omboue,GA,74.07,overcast clouds,-1.5746,9.2618,Hotel Olako
235,Roura,GF,79.97,moderate rain,4.7263,-52.3274,Amazonie Découverte SARL
236,Paramonga,PE,72.45,overcast clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
237,Cidreira,BR,70.23,clear sky,-30.1811,-50.2056,Hotel Castelo
239,East London,ZA,66.49,light rain,-33.0153,27.9116,Tu Casa
240,Bandraboua,YT,80.28,clear sky,-12.7044,45.1223,HASSANI Mikidachi
241,Port-Gentil,GA,80.04,overcast clouds,-0.7193,8.7815,Fengshui Residence
242,Gat,IL,71.4,overcast clouds,31.61,34.7642,OlusHome
243,Abaza,RU,35.87,light rain,52.655,90.0928,Гостевой дом «Кедровый»
245,Tongliao,CN,40.42,broken clouds,43.6125,122.2653,Meirujia Hotel
246,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
247,Fuyu,CN,41.41,overcast clouds,45.1833,124.8167,Education Hostel
248,Sabzevar,IR,60.08,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
249,Atasu,KZ,25.93,clear sky,48.6814,71.6433,Dostyk
250,Fengrun,CN,44.87,clear sky,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
251,Port Keats,AU,77.45,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
252,Zhanaozen,KZ,61.41,clear sky,43.3,52.8,K.korabay 28A
253,Kathmandu,NP,66.42,mist,27.7167,85.3167,Hotel Shanker Kathmandu
254,Flinders,AU,64.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
256,Reconquista,AR,69.15,broken clouds,-29.15,-59.65,Grand Hotel
257,Port-Cartier,CA,39.74,broken clouds,50.0334,-66.8654,Le Q'Artier
258,Strezhevoy,RU,12.34,overcast clouds,60.7333,77.5889,Sibiryachka
260,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
261,Ilulissat,GL,33.82,few clouds,69.2167,-51.1,Hotel Arctic
265,Porto Velho,BR,75.25,overcast clouds,-8.7619,-63.9039,Ecos Hotel Conforto
266,Sorland,NO,34.0,light snow,67.667,12.6934,Sjybrygga fiskecamp
267,Kankaanpaa,FI,32.76,light snow,61.8,22.4167,Kuntoutuskeskus Kankaanpää
269,Ust-Uda,RU,31.28,overcast clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
270,Kerema,PG,76.69,overcast clouds,-7.9631,145.7785,Frena Lodge
271,Guarapari,BR,81.9,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
272,Dandong,CN,38.48,clear sky,40.1292,124.3947,Yiranju Farmstay
273,Imphal,IN,64.27,clear sky,24.8167,93.95,State Guest House
274,Hobyo,SO,81.45,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
